,V1
S1820,telangiectasia, hereditary hemorrhagic
S1821,tetralogy of fallot
S1822,thalamic diseases
S1823,thyroiditis
S1824,trochlear nerve diseases
S1825,ureteral diseases
S1826,vacterl association
S1827,vasoplegia
S1828,ventricular dysfunction, right
S1829,vision, low
S1830,vitamin e deficiency
S1831,bulimia nervosa
S1832,ecchymosis
S1833,hematoma, epidural, cranial
S1834,keratoderma, palmoplantar
S1835,marijuana abuse
S1836,tics
S1837,bruxism
S1838,delirium, dementia, amnestic, cognitive disorders
S1839,fragile x syndrome
S1840,lymphadenitis
S1841,multiple sclerosis, relapsing-remitting
S1842,myasthenic syndromes, congenital
S1843,pick disease of the brain
S1844,renal osteodystrophy
S1845,trismus
S1846,paraquat lung
S1847,ataxia with vitamin e deficiency
S1848,bird diseases
S1849,carbon tetrachloride poisoning
S1850,carcinoma, signet ring cell
S1851,eales disease
S1852,muscular dystrophies
S1853,renal insufficiency, chronic
S1854,retinal hemorrhage
S1855,retinopathy of prematurity
S1856,short bowel syndrome
S1857,sigmoid neoplasms
S1858,aortic valve insufficiency
S1859,arrhythmia, sinus
S1860,brugada syndrome
S1861,carpal tunnel syndrome
S1862,darier disease
S1863,dementia, vascular
S1864,herpes simplex
S1865,hyperglycemic hyperosmolar nonketotic coma
S1866,hypernatremia
S1867,hyperparathyroidism
S1868,meniere disease
S1869,mobility limitation
S1870,nocturia
S1871,panophthalmitis
S1872,parathyroid neoplasms
S1873,polyhydramnios
S1874,schizophrenia, catatonic
S1875,seasonal affective disorder
S1876,sexually transmitted diseases
S1877,shellfish poisoning
S1878,sleep disorders, circadian rhythm
S1879,soft tissue infections
S1880,substance abuse, intravenous
S1881,syphilis
S1882,tachypnea
S1883,tooth diseases
S1884,bowen&apos;s disease
S1885,chronic disease
S1886,foot diseases
S1887,hyperkeratosis, epidermolytic
S1888,keratosis
S1889,acantholysis
S1890,acquired ichthyosis
S1891,adenocarcinoma, clear cell
S1892,adenocarcinoma, mucinous
S1893,anodontia
S1894,arteriovenous malformations
S1895,atrial septal defect ostium primum
S1896,barrett esophagus
S1897,carcinoma, adenosquamous
S1898,carcinoma, embryonal
S1899,caudal regression syndrome
S1900,cervical intraepithelial neoplasia
S1901,choriocarcinoma
S1902,colic
S1903,cystadenocarcinoma
S1904,ectropion
S1905,femur head necrosis
S1906,keratosis, actinic
S1907,lentigo
S1908,lichen planus, oral
S1909,metabolism, inborn errors
S1910,paraparesis
S1911,parovarian cyst
S1912,pterygium
S1913,retroperitoneal neoplasms
S1914,teratocarcinoma
S1915,uterine cervical diseases
S1916,uterine cervical dysplasia
S1917,uveal neoplasms
S1918,vaginal discharge
S1919,vitreous hemorrhage
S1920,xeroderma pigmentosum
S1921,acrodermatitis enteropathica
S1922,adenomatous polyps
S1923,arachnoiditis
S1924,ascorbic acid deficiency
S1925,athletic injuries
S1926,bartter syndrome
S1927,blepharitis
S1928,bulbar palsy, progressive
S1929,calcium metabolism disorders
S1930,carcinoma, papillary
S1931,charcot-marie-tooth disease
S1932,charcot-marie-tooth disease, axonal, type 2n
S1933,common cold
S1934,complex regional pain syndromes
S1935,condylomata acuminata
S1936,disease susceptibility
S1937,duodenal neoplasms
S1938,dysgeusia
S1939,escherichia coli infections
S1940,esophageal squamous cell carcinoma
S1941,haemophilus infections
S1942,htlv-i infections
S1943,hypocapnia
S1944,hypoprothrombinemias
S1945,klebsiella infections
S1946,leukemia-lymphoma, adult t-cell
S1947,leukemia, monocytic, acute
S1948,leukemia, t-cell
S1949,meningitis, haemophilus
S1950,mycosis fungoides
S1951,nail diseases
S1952,oculomotor nerve diseases
S1953,oligohydramnios
S1954,osteoarthritis, hip
S1955,otitis media
S1956,paraganglioma
S1957,paraneoplastic syndromes
S1958,parotid neoplasms
S1959,peptic ulcer
S1960,polyradiculopathy
S1961,prinzmetal&apos;s variant angina
S1962,prosthesis-related infections
S1963,proteus infections
S1964,pseudoxanthoma elasticum
S1965,pulmonary eosinophilia
S1966,rectal diseases
S1967,retinitis
S1968,salmonella infections
S1969,sarcoma 180
S1970,scleroderma, limited
S1971,serratia infections
S1972,spondylitis
S1973,suppuration
S1974,thiamine deficiency
S1975,tumor lysis syndrome
S1976,uveal melanoma
S1977,uveitis, anterior
S1978,vestibulocochlear nerve diseases
S1979,vipoma
S1980,argyria
S1981,hyperlysinemias
S1982,insect bites and stings
S1983,ophthalmoplegia, chronic progressive external
S1984,saccharopinuria
S1985,aortic aneurysm, familial thoracic 1
S1986,arthrogryposis
S1987,mptp poisoning
S1988,myxoma
S1989,opioid-related disorders
S1990,osteoporotic fractures
S1991,pressure ulcer
S1992,spinal cord compression
S1993,spinal fractures
S1994,tobacco addiction, susceptibility to
S1995,vulvar neoplasms
S1996,aortic valve disease 1
S1997,bone diseases, endocrine
S1998,cattle diseases
S1999,gamma aminobutyric acid transaminase deficiency
S2000,gastroesophageal reflux
S2001,genetic predisposition to disease
S2002,hyperphosphatemia
S2003,hypoparathyroidism
S2004,hypophosphatemic rickets, x-linked dominant
S2005,osteochondrodysplasias
S2006,parathyroid diseases
S2007,pseudohypoparathyroidism
S2008,rickets
S2009,achlorhydria
S2010,adenomatous polyposis coli
S2011,adrenoleukodystrophy
S2012,alkalosis, respiratory
S2013,amaurosis fugax
S2014,amnesia, anterograde
S2015,anterior compartment syndrome
S2016,antiphospholipid syndrome
S2017,aortic coarctation
S2018,asphyxia
S2019,asthma, aspirin-induced
S2020,asthma, occupational
S2021,brain death
S2022,bronchiolitis
S2023,carcinoma, ductal
S2024,causalgia
S2025,ceroid lipofuscinosis, neuronal 1, infantile
S2026,chickenpox
S2027,choanal atresia
S2028,cholestasis, benign recurrent intrahepatic 1
S2029,chordoma
S2030,chromosomal instability
S2031,contracture
S2032,cystitis, interstitial
S2033,dengue
S2034,diabetes mellitus, lipoatrophic
S2035,distal myopathies
S2036,diverticulum
S2037,duane retraction syndrome
S2038,dysgnathia complex
S2039,dyspnea, paroxysmal
S2040,ectromelia
S2041,embolism and thrombosis
S2042,encephalocele
S2043,ependymoma
S2044,episodic ataxia with nystagmus
S2045,esophageal stenosis
S2046,facial nerve diseases
S2047,factor 8 deficiency, acquired
S2048,familial apoceruloplasmin deficiency
S2049,familial hdl deficiency
S2050,fanconi anemia
S2051,fecal incontinence
S2052,food hypersensitivity
S2053,foot deformities
S2054,gagging
S2055,galactorrhea-hyperprolactinemia
S2056,gastric fistula
S2057,gastroparesis
S2058,gaucher disease
S2059,gerstmann syndrome
S2060,giant lymph node hyperplasia
S2061,glossopharyngeal nerve diseases
S2062,graft occlusion, vascular
S2063,granulomatosis, orofacial
S2064,heartburn
S2065,hemangioblastoma
S2066,hematemesis
S2067,hematoma, subdural, chronic
S2068,hemospermia
S2069,hemothorax
S2070,hernia, hiatal
S2071,histiocytic sarcoma
S2072,hiv-associated lipodystrophy syndrome
S2073,hyperacusis
S2074,hypercholesterolemia, familial
S2075,hyperlipoproteinemia type iii
S2076,hyperlipoproteinemia type v
S2077,hypertension, pregnancy-induced
S2078,hypertensive nephropathy
S2079,hypoglossal nerve diseases
S2080,hypolipoproteinemias
S2081,iatrogenic disease
S2082,intervertebral disc disease
S2083,intervertebral disc displacement
S2084,intestinal atresia
S2085,intestinal pseudo-obstruction
S2086,intracranial hemorrhage, traumatic
S2087,jejunal diseases
S2088,kartagener syndrome
S2089,keratosis, seborrheic
S2090,kidney diseases, cystic
S2091,labor pain
S2092,laryngismus
S2093,laryngopharyngeal reflux
S2094,leukemia, plasma cell
S2095,lupus erythematosus, discoid
S2096,lymphoma, b-cell, marginal zone
S2097,lymphoma, follicular
S2098,lymphoma, mantle-cell
S2099,mastocytosis, systemic
S2100,melena
S2101,meningism
S2102,mesothelioma, malignant
S2103,mild cognitive impairment
S2104,myotonia
S2105,myotonic disorders
S2106,nasopharyngeal carcinoma
S2107,neck pain
S2108,neoplasms, neuroepithelial
S2109,neoplasms, second primary
S2110,neurofibroma, plexiform
S2111,optic nerve glioma
S2112,osteoarthritis, knee
S2113,pemphigoid, benign mucous membrane
S2114,peptic ulcer hemorrhage
S2115,polymyalgia rheumatica
S2116,porokeratosis
S2117,postpartum hemorrhage
S2118,potassium deficiency
S2119,primary sclerosing cholangitis
S2120,prurigo
S2121,pulmonary alveolar proteinosis
S2122,pulmonary valve insufficiency
S2123,renal colic
S2124,respiratory paralysis
S2125,respiratory syncytial virus infections
S2126,retrograde degeneration
S2127,rhinitis, allergic, perennial
S2128,schnitzler syndrome
S2129,sezary syndrome
S2130,silicosis
S2131,sitosterolemia
S2132,sjogren-larsson syndrome
S2133,skin manifestations
S2134,smith-lemli-opitz syndrome
S2135,spastic paraplegia type 5a, recessive
S2136,spinal cord neoplasms
S2137,spinal neoplasms
S2138,spondylolysis
S2139,steatorrhea
S2140,still&apos;s disease, adult-onset
S2141,supratentorial neoplasms
S2142,tangier disease
S2143,testicular hydrocele
S2144,thyroid cancer, medullary
S2145,thyroid cancer, papillary
S2146,toothache
S2147,trigeminal nerve diseases
S2148,truncus arteriosus, persistent
S2149,ureteral calculi
S2150,urinary bladder, overactive
S2151,urinary calculi
S2152,vagus nerve diseases
S2153,vestibular neuronitis
S2154,vlcad deficiency
S2155,wallerian degeneration
S2156,werner syndrome
S2157,wheat hypersensitivity
S2158,zollinger-ellison syndrome
S2159,ciliophora infections
S2160,dermatitis, occupational
S2161,fish diseases
S2162,formaldehyde poisoning
S2163,pneumonia, aspiration
S2164,warts
S2165,anovulation
S2166,harlequin type ichthyosis
S2167,ichthyosis, lamellar
S2168,lamellar ichthyosis, type 2
S2169,pneumoconiosis
S2170,persian gulf syndrome
S2171,sex chromosome aberrations
S2172,leukemia, prolymphocytic, t-cell
S2173,lymphoma, primary effusion
S2174,rhabdomyosarcoma, alveolar
S2175,rhabdomyosarcoma, embryonal
S2176,alveolar bone loss
S2177,carcinoma, medullary
S2178,chondrocalcinosis
S2179,coronavirus infections
S2180,ductus arteriosus, patent
S2181,dyssomnias
S2182,folliculitis
S2183,hydrops fetalis
S2184,hyperamylasemia
S2185,hypoaldosteronism
S2186,ileitis
S2187,intestinal perforation
S2188,mastocytosis
S2189,ossification, heterotopic
S2190,ovarian hyperstimulation syndrome
S2191,paroxysmal hemicrania
S2192,pseudohypoaldosteronism
S2193,pulmonary heart disease
S2194,sciatica
S2195,surfactant metabolism dysfunction, pulmonary, 3
S2196,tendinopathy
S2197,tricuspid valve insufficiency
S2198,acquired hyperostosis syndrome
S2199,cone-rod dystrophy 3
S2200,femoral fractures
S2201,giant cell tumor of bone
S2202,macular degeneration
S2203,macular degeneration, age-related, 2
S2204,retinitis pigmentosa 19
S2205,stargardt disease 1
S2206,aids-related kaposi sarcoma
S2207,aneurysm, false
S2208,language disorders
S2209,neuroendocrine tumors
S2210,onycholysis
S2211,plaque, amyloid
S2212,thyroid cancer, anaplastic
S2213,tonsillar neoplasms
S2214,acute generalized exanthematous pustulosis
S2215,articulation disorders
S2216,connective tissue diseases
S2217,diabetes insipidus primary central
S2218,esotropia
S2219,facial neuralgia
S2220,hemifacial spasm
S2221,intracranial arteriovenous malformations
S2222,leukemoid reaction
S2223,parapsoriasis
S2224,purpura, thrombocytopenic
S2225,radiation injuries, experimental
S2226,tyrosinemias
S2227,water intoxication
S2228,atrial premature complexes
S2229,bidirectional tachycardia
S2230,chagas cardiomyopathy
S2231,cytomegalovirus retinitis
S2232,eye pain
S2233,gonorrhea
S2234,myoclonic dystonia
S2235,pelvic inflammatory disease
S2236,penile induration
S2237,tachycardia, ectopic atrial
S2238,tachycardia, paroxysmal
S2239,5q- syndrome
S2240,achalasia microcephaly
S2241,acquired angioedema
S2242,acrocephalosyndactylia
S2243,acromegaly
S2244,addison disease
S2245,adenocarcinoma, follicular
S2246,adenomatosis, pulmonary
S2247,agnosia
S2248,agraphia
S2249,aids-related complex
S2250,airway remodeling
S2251,alexia, pure
S2252,anemia, pernicious
S2253,anemia, refractory
S2254,angina, stable
S2255,anomia
S2256,anxiety, separation
S2257,aortic aneurysm, thoracic
S2258,apparent mineralocorticoid excess
S2259,apraxia, ideomotor
S2260,arthritis, reactive
S2261,ascaridida infections
S2262,asperger syndrome
S2263,aspergillosis, allergic bronchopulmonary
S2264,bile duct neoplasms
S2265,binge-eating disorder
S2266,blepharophimosis
S2267,borderline personality disorder
S2268,brachial plexus neuropathies
S2269,burning mouth syndrome
S2270,burns, chemical
S2271,bursitis
S2272,campylobacter infections
S2273,cardiomyopathy, restrictive
S2274,cerebellar neoplasms
S2275,cerebral arterial diseases
S2276,cerebral ventriculitis
S2277,cerebrospinal fluid otorrhea
S2278,cerebrospinal fluid rhinorrhea
S2279,child nutrition disorders
S2280,cholecystitis, acute
S2281,choledocholithiasis
S2282,cholestasis, progressive familial intrahepatic 3
S2283,chondrodysplasia punctata
S2284,chondrosarcoma
S2285,choristoma
S2286,choroid hemorrhage
S2287,chromosome 17 deletion
S2288,chromosome 7, monosomy
S2289,chronic pain
S2290,coccidioidomycosis
S2291,coccidiosis
S2292,collagen diseases
S2293,colonic diseases, functional
S2294,colorectal neoplasms, hereditary nonpolyposis
S2295,combat disorders
S2296,corneal dystrophy avellino type
S2297,corneal edema
S2298,corneal perforation
S2299,crest syndrome
S2300,cutaneous fistula
S2301,cytomegalovirus infections
S2302,decerebrate state
S2303,dental plaque
S2304,dermatitis, phototoxic
S2305,dermatomycoses
S2306,dextrocardia
S2307,dirofilariasis
S2308,diurnal enuresis
S2309,diverticulitis, colonic
S2310,dry eye syndromes
S2311,dupuytren contracture
S2312,dystonia musculorum deformans
S2313,edema of the optic disc
S2314,elephantiasis, filarial
S2315,embolism, air
S2316,embolism, cholesterol
S2317,empty sella syndrome
S2318,encephalitis, herpes simplex
S2319,encephalomyelitis
S2320,enterobiasis
S2321,epileptic encephalopathy, lennox-gastaut type
S2322,erythema migrans
S2323,esophageal motility disorders
S2324,euthyroid sick syndromes
S2325,exotropia
S2326,eye neoplasms
S2327,facial nerve injuries
S2328,factitious disorders
S2329,failed back surgery syndrome
S2330,failure to thrive
S2331,familial mediterranean fever
S2332,fasciitis, plantar
S2333,femoral neuropathy
S2334,fetal hypoxia
S2335,fetishism (psychiatric)
S2336,fissure in ano
S2337,flatulence
S2338,fractures, bone
S2339,frontotemporal dementia
S2340,gangrene
S2341,genetic diseases, inborn
S2342,gliosarcoma
S2343,granuloma, plasma cell
S2344,growth hormone-secreting pituitary adenoma
S2345,halitosis
S2346,heart failure, diastolic
S2347,heart failure, systolic
S2348,helminthiasis
S2349,helminthiasis, animal
S2350,hemianopsia
S2351,hemobilia
S2352,hemophilia a
S2353,hepatitis, viral, human
S2354,hepatopulmonary syndrome
S2355,hernia, abdominal
S2356,herpes zoster
S2357,horner syndrome
S2358,horse diseases
S2359,hypercapnia
S2360,hypochondriasis
S2361,hypohidrosis
S2362,hypopharyngeal neoplasms
S2363,hypotrichosis
S2364,hypoventilation
S2365,ichthyosis, x-linked
S2366,inflammatory bowel disease 13
S2367,intermittent claudication
S2368,intestinal fistula
S2369,intestinal polyposis
S2370,intracranial hemorrhage, hypertensive
S2371,intrahepatic cholangiocarcinoma
S2372,iris diseases
S2373,iritis
S2374,juvenile pauciarticular chronic arthritis
S2375,klatskin&apos;s tumor
S2376,kluver-bucy syndrome
S2377,kyphosis
S2378,lambert-eaton myasthenic syndrome
S2379,leg ulcer
S2380,leukemia, b-cell
S2381,leukemia, myeloid, chronic, atypical, bcr-abl negative
S2382,leukemia, myelomonocytic, acute
S2383,leukemia, radiation-induced
S2384,leukoplakia
S2385,leukoplakia, oral
S2386,liddle syndrome
S2387,lipomatosis
S2388,livedo reticularis
S2389,loiasis
S2390,lupus vasculitis, central nervous system
S2391,lyme disease
S2392,lymphohistiocytosis, hemophagocytic
S2393,lymphoma, large-cell, anaplastic
S2394,lymphoma, large-cell, immunoblastic
S2395,lymphomatoid granulomatosis
S2396,macroglossia
S2397,malabsorption syndromes
S2398,malaria, cerebral
S2399,malaria, vivax
S2400,malignant carcinoid syndrome
S2401,malignant mesenchymal tumor
S2402,marfan syndrome
S2403,maxillary diseases
S2404,meige syndrome
S2405,meningeal carcinomatosis
S2406,microscopic polyangiitis
S2407,mitochondrial cytopathy
S2408,mitochondrial encephalopathy
S2409,mitochondrial myopathy with lactic acidosis
S2410,mitral valve stenosis
S2411,monkey diseases
S2412,mucopolysaccharidosis iii
S2413,multiple system atrophy
S2414,muscular dystrophy, duchenne
S2415,mycoplasma infections
S2416,mycotoxicosis
S2417,myelitis
S2418,myelitis, transverse
S2419,myokymia
S2420,nematode infections
S2421,neoplasms, radiation-induced
S2422,nerve compression syndromes
S2423,neuromyelitis optica
S2424,night terrors
S2425,nonpuerperal galactorrhea
S2426,no-reflow phenomenon
S2427,olfactory nerve diseases
S2428,oligomenorrhea
S2429,onchocerciasis
S2430,oral submucous fibrosis
S2431,orbital pseudotumor
S2432,orthostatic intolerance
S2433,osteitis deformans
S2434,otitis media with effusion
S2435,oxyuriasis
S2436,pallor
S2437,paranasal sinus neoplasms
S2438,paraparesis, spastic
S2439,paraphilias
S2440,parasitemia
S2441,parasitic diseases
S2442,pars planitis
S2443,pelvic infection
S2444,pemphigus, benign familial
S2445,penile neoplasms
S2446,pericarditis, constrictive
S2447,persistent vegetative state
S2448,peters anomaly
S2449,pharyngeal diseases
S2450,pityriasis rubra pilaris
S2451,pleural effusion, malignant
S2452,pneumocephalus
S2453,pneumonia, pneumocystis
S2454,polymorphic catecholergic ventricular tachycardia
S2455,post-exercise hypotension
S2456,postural orthostatic tachycardia syndrome
S2457,prader-willi syndrome
S2458,pregnancy complications, neoplastic
S2459,pregnancy, ectopic
S2460,primary ovarian insufficiency
S2461,prostatism
S2462,prosthesis failure
S2463,pseudobulbar palsy
S2464,pulmonary aspergillosis
S2465,pulmonary veno-occlusive disease
S2466,pyelitis
S2467,pyuria
S2468,radial neuropathy
S2469,rapidly progressive glomerulonephritis with pulmonary hemorrhage
S2470,respiratory aspiration
S2471,retinal dysplasia
S2472,retroviridae infections
S2473,rheumatic heart disease
S2474,rheumatoid vasculitis
S2475,rhinitis, allergic, seasonal
S2476,rupture
S2477,rupture, spontaneous
S2478,sarcoma, clear cell
S2479,sarcoma, experimental
S2480,schizophrenia and disorders with psychotic features
S2481,schizophrenia, childhood
S2482,schizophrenia, disorganized
S2483,seminoma
S2484,severe acute respiratory syndrome
S2485,severe cutaneous adverse reaction, susceptibility to
S2486,sialadenitis
S2487,simian acquired immunodeficiency syndrome
S2488,situs inversus
S2489,skin diseases, infectious
S2490,skin diseases, vesiculobullous
S2491,sleep disorders, intrinsic
S2492,sleep-wake transition disorders
S2493,smith-magenis syndrome
S2494,sneezing
S2495,snoring
S2496,spermatogenic failure 6
S2497,sphincter of oddi dysfunction
S2498,spinal cord vascular diseases
S2499,spinal stenosis
S2500,sporotrichosis
S2501,strongyle infections, equine
S2502,sunburn
S2503,sunct syndrome
S2504,sweet syndrome
S2505,syndactyly
S2506,systemic candidiasis
S2507,systemic inflammatory response syndrome
S2508,tendon injuries
S2509,tetanus
S2510,thoracic neoplasms
S2511,thyroiditis, autoimmune
S2512,tinea
S2513,tinea capitis
S2514,tinea pedis
S2515,tonic pupil
S2516,tonsillitis
S2517,tooth abrasion
S2518,tooth discoloration
S2519,toxoplasmosis, congenital
S2520,toxoplasmosis, ocular
S2521,tracheal stenosis
S2522,trichinellosis
S2523,trichostrongyloidiasis
S2524,trophoblastic neoplasms
S2525,trypanosomiasis, african
S2526,tuberculosis, osteoarticular
S2527,typhus, endemic flea-borne
S2528,urethral obstruction
S2529,urinary bladder fistula
S2530,urinary bladder neck obstruction
S2531,urinary incontinence, stress
S2532,uterine cervicitis
S2533,vaginitis
S2534,vesico-ureteral reflux
S2535,vesicovaginal fistula
S2536,vitamin a deficiency
S2537,warfarin syndrome
S2538,wernicke encephalopathy
S2539,afibrinogenemia congenital
S2540,aids-associated nephropathy
S2541,auditory neuropathy
S2542,carcinoma, islet cell
S2543,cholecystolithiasis
S2544,cholestasis, benign recurrent intrahepatic 2
S2545,cholestasis, progressive familial intrahepatic 2
S2546,coproporphyria, hereditary
S2547,extensively drug-resistant tuberculosis
S2548,fanconi like syndrome
S2549,insulinoma
S2550,nocturnal myoclonus syndrome
S2551,polydipsia
S2552,surgical wound infection
S2553,varicose ulcer
S2554,angiomatosis
S2555,dislocations
S2556,epilepsy, post-traumatic
S2557,fascioliasis
S2558,gingival hemorrhage
S2559,goiter, nodular
S2560,immune complex diseases
S2561,intestinal diseases, parasitic
S2562,lung diseases, parasitic
S2563,mite infestations
S2564,speech disturbance - use of faulty phrasing and unrelated words
S2565,strongyloidiasis
S2566,asbestosis
S2567,hyperoxia
S2568,neoplastic processes
S2569,neuritis, autoimmune, experimental
S2570,opisthorchiasis
S2571,diverticulitis
S2572,gallbladder disease 1
S2573,retinal detachment
S2574,anemia, sideroblastic spinocerebellar ataxia
S2575,appendiceal neoplasms
S2576,beta-thalassemia
S2577,foot injuries
S2578,hand injuries
S2579,antley-bixler syndrome phenotype
S2580,candidiasis, cutaneous
S2581,afibrinogenemia
S2582,alpha 1-antitrypsin deficiency
S2583,anemia, hypochromic microcytic
S2584,antithrombin iii deficiency
S2585,asthma, exercise-induced
S2586,blood loss, surgical
S2587,critical illness
S2588,croup
S2589,decompression sickness
S2590,endometritis
S2591,familial cerebral cavernous malformation
S2592,fractures, closed
S2593,friedreich ataxia
S2594,head injuries, closed
S2595,hemochromatosis
S2596,hereditary angioedema type iii
S2597,leriche syndrome
S2598,mixed connective tissue disease
S2599,multi-centric castleman&apos;s disease
S2600,nasal polyps
S2601,optic nerve injuries
S2602,parasomnias
S2603,postphlebitic syndrome
S2604,primary amyloidosis
S2605,primary graft dysfunction
S2606,protozoan infections
S2607,retrobulbar hemorrhage
S2608,sarcoma, myeloid
S2609,subarachnoid hemorrhage, traumatic
S2610,toxemia
S2611,vulvitis
S2612,adjustment disorders
S2613,anus diseases
S2614,body dysmorphic disorders
S2615,bone demineralization, pathologic
S2616,dermatitis herpetiformis
S2617,granuloma annulare
S2618,hashimoto disease
S2619,hyperthyroxinemia
S2620,jaundice, chronic idiopathic
S2621,lead poisoning, nervous system, childhood
S2622,listeriosis
S2623,liver diseases, parasitic
S2624,mitochondrial encephalomyopathies
S2625,neurosyphilis
S2626,pneumocystis infections
S2627,porphyria, variegate
S2628,rectal fistula
S2629,urinary incontinence, urge
S2630,urinoma
S2631,bacteriuria
S2632,balkan nephropathy
S2633,dysentery, bacillary
S2634,salmonella food poisoning
S2635,vibrio infections
S2636,acinetobacter infections
S2637,anthrax
S2638,bordetella infections
S2639,brachydactyly with hypertension
S2640,dent disease
S2641,flavobacteriaceae infections
S2642,glossalgia
S2643,hyperostosis, cortical, congenital
S2644,impotence, vasculogenic
S2645,moraxellaceae infections
S2646,neisseriaceae infections
S2647,obstetric labor complications
S2648,osteitis
S2649,osteoarthropathy, secondary hypertrophic
S2650,otitis
S2651,pulmonary atresia
S2652,rickettsia infections
S2653,typhoid fever
S2654,congenital hyperinsulinism
S2655,diabetes mellitus, permanent neonatal
S2656,diabetes mellitus, transient neonatal, 2
S2657,diabetic coma
S2658,hyperinsulinemic hypoglycemia, familial, 1
S2659,hypoglycemia, leucine-induced
S2660,cantu syndrome
S2661,cardiomyopathy, dilated, 1o
S2662,sleep apnea syndromes
S2663,hemangiopericytoma
S2664,keratoacanthoma
S2665,zellweger syndrome
S2666,carcinoma 256, walker
S2667,homocystinuria
S2668,imerslund-grasbeck syndrome
S2669,subacute combined degeneration
S2670,enterovirus infections
S2671,encephalitis, viral
S2672,herpesviridae infections
S2673,herpes zoster ophthalmicus
S2674,herpes zoster oticus
S2675,malignant hyperthermia
S2676,miyoshi myopathy
S2677,multiple endocrine neoplasia
S2678,nutritional and metabolic diseases
S2679,retinal necrosis syndrome, acute
S2680,temporomandibular ankylosis
S2681,lipid metabolism, inborn errors
S2682,gallbladder disease 4
S2683,murine acquired immunodeficiency syndrome
S2684,post-dural puncture headache
S2685,burkholderia infections
S2686,chylothorax
S2687,kidney disorder involving deposition of calcium and oxalate or phosphate in the renal tubules
S2688,polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract
S2689,refsum disease
S2690,triglyceride storage disease with impaired long-chain fatty acid oxidation
S2691,mastocytosis, cutaneous
S2692,myeloproliferative disorders
S2693,chromosome 22, microdeletion 22 q11
S2694,low tension glaucoma
S2695,filariasis
S2696,leukocyte disorders
S2697,d-bifunctional protein deficiency
S2698,spinal curvatures
S2699,isobutyryl-coa dehydrogenase deficiency
S2700,acyl-coa dehydrogenase family, member 9, deficiency of
S2701,medium chain acyl coa dehydrogenase deficiency
S2702,short chain acyl coa dehydrogenase deficiency
S2703,2-methylbutyryl-coa dehydrogenase deficiency
S2704,neuronal ceroid-lipofuscinoses
S2705,jet lag syndrome
S2706,muscular dystrophy, facioscapulohumeral
S2707,osteochondritis dissecans, short stature, and early-onset osteoarthritis
S2708,spondyloepimetaphyseal dysplasia, aggrecan type
S2709,spondyloepiphyseal dysplasia, kimberley type
S2710,acute chest syndrome
S2711,beta ketothiolase deficiency
S2712,common bile duct diseases
S2713,frostbite
S2714,hemorrhoids
S2715,herpes labialis
S2716,hyaline membrane disease
S2717,hip fractures
S2718,paroxysmal nonkinesigenic dyskinesia
S2719,allanson pantzar mcleod syndrome
S2720,barotrauma
S2721,chilblains
S2722,evan&apos;s syndrome
S2723,eyelid neoplasms
S2724,fasciitis
S2725,glossitis
S2726,glycogen storage disease type v
S2727,hearing loss, mixed conductive-sensorineural
S2728,infarction, anterior cerebral artery
S2729,microvascular complications of diabetes, susceptibility to, 1
S2730,microvascular complications of diabetes, susceptibility to, 3
S2731,parasystole
S2732,pleurodynia, epidemic
S2733,pneumonia, lipid
S2734,pneumonia, viral
S2735,pneumoperitoneum
S2736,polyps
S2737,renal tubular dysgenesis
S2738,segmental glomerulosclerosis
S2739,tietze&apos;s syndrome
S2740,ascariasis
S2741,cat diseases
S2742,flea infestations
S2743,hookworm infections
S2744,hymenolepiasis
S2745,oxyurida infections
S2746,tick infestations
S2747,trichuriasis
S2748,cayler cardiofacial syndrome
S2749,aggressive periodontitis
S2750,chromosome 13q trisomy
S2751,dementia, multi-infarct
S2752,esophageal spasm, diffuse
S2753,fluorosis, dental
S2754,foodborne diseases
S2755,fusariosis
S2756,heart rupture
S2757,hematoma, subdural, spinal
S2758,hyperglycinemia, nonketotic
S2759,job&apos;s syndrome
S2760,myofascial pain syndromes
S2761,neural tube defect, folate-sensitive
S2762,parasitic diseases, animal
S2763,schistosomiasis
S2764,schistosomiasis haematobia
S2765,acrocallosal syndrome
S2766,anemia, diamond-blackfan
S2767,nasopharyngitis
S2768,thalassemia
S2769,puerperal infection
S2770,duodenitis
S2771,pilonidal sinus
S2772,peroxisomal acyl-coa oxidase deficiency
S2773,spondyloenchondrodysplasia
S2774,malonic aciduria
S2775,methylmalonic acidemia
S2776,mental retardation, x-linked 63
S2777,myopathy, congenital, with fiber-type disproportion
S2778,nemaline myopathy 3
S2779,abortion, habitual
S2780,aortic aneurysm, familial thoracic 6
S2781,chylous ascites
S2782,idiopathic pulmonary fibrosis
S2783,leukemia, hairy cell
S2784,leukemia, myelomonocytic, juvenile
S2785,neoplasms, multiple primary
S2786,nephrogenic fibrosing dermopathy
S2787,pancreatic islet cell tumors
S2788,thymoma
S2789,juvenile-onset dystonia
S2790,smoke inhalation injury
S2791,neoplasms, mesothelial
S2792,atrial septal defect 5
S2793,cardiomyopathy, familial hypertrophic, 1
S2794,cardiomyopathy, familial hypertrophic, 11
S2795,refractive errors
S2796,acetabular dysplasia
S2797,deafness, autosomal dominant 20
S2798,cecal neoplasms
S2799,muscle neoplasms
S2800,cardiomyopathy, dilated, 1aa
